Delta,Theta,Alpha,Beta,Gamma
1.9047799177485806e-10,3.2135556288458926e-11,1.993830144503663e-11,9.550397908624898e-12,4.0282305015529355e-12
3.423744317515664e-10,3.0713003308451325e-11,1.547609801244607e-11,1.0079467958148574e-11,5.941120076575673e-12
1.818830598882096e-10,1.1635800993999498e-10,3.8269589247318844e-11,9.587954145451062e-12,6.408167340530636e-12
1.9216279557842135e-10,1.6383084693460997e-10,3.2918361626992796e-11,1.1431485747749149e-11,3.117420257878901e-12
3.359669165514531e-10,5.282642833216362e-11,1.4282233318029753e-11,7.093843668104868e-12,3.474021503229608e-12
1.1555675917761425e-10,1.2751053285289231e-11,2.6505570575209455e-11,6.380905118732585e-12,2.9664784800389117e-12
1.545305712037019e-10,7.897741475693168e-11,5.739361682681929e-11,1.2538802588552891e-11,3.431584579687786e-12
6.27530663788863e-10,1.1029917242327933e-10,2.6164878730695107e-11,1.2647325101681768e-11,5.930496914068035e-12
5.024279191285954e-10,7.344821135928086e-11,4.76048022406756e-11,9.084593074645612e-12,2.9847773633697087e-12
5.794128257685782e-10,4.7505073334689275e-11,2.5837323728804272e-11,1.0694331283519095e-11,4.5852885148141614e-12
2.114153669265475e-10,1.0244848698779263e-10,4.88871931135503e-11,1.2287583309085094e-11,5.3197134135511185e-12
1.982727140534171e-10,3.8266360748902437e-11,4.412029535579166e-11,1.3578905522518792e-11,2.4102506589935476e-12
1.2195976836193144e-10,3.4296247157504455e-11,3.8463146123721154e-11,1.3765729444625531e-11,4.257244837334004e-12
1.8224764424688627e-10,4.0101723061616214e-11,2.5910560523651493e-11,1.093429411561736e-11,4.779380983009521e-12
2.283715306936389e-10,6.476792509835402e-11,3.173321519582407e-11,7.090245006118913e-12,2.8459795251954474e-12
2.864478491872149e-10,4.608540266351723e-11,2.7562003665483982e-11,1.0997991881470728e-11,4.560481582588829e-12
1.1549485763592534e-10,2.680352453187721e-11,2.691281852173464e-11,1.1329912543071584e-11,4.241476883688142e-12
6.059129832456081e-10,6.628205625085353e-11,3.889026663917112e-11,1.821643912459471e-11,5.687785893231841e-12
1.9955311195187669e-10,8.685238327982301e-11,5.2006520879694016e-11,1.2525837933700439e-11,3.5284787307077668e-12
1.3798860088441756e-10,5.2439397029235144e-11,2.6354538078609494e-11,8.314684647662966e-12,3.39942821144204e-12
1.0768557078671545e-10,8.988875064862716e-11,2.932425217455358e-11,1.1523413018245738e-11,4.874251296291251e-12
1.855309696729591e-10,3.2148624603557156e-11,1.9014884400271877e-11,1.2602447149961052e-11,2.594303101381676e-12
8.717055408873799e-11,5.43839529154104e-11,3.880847049352012e-11,1.9160584675792194e-11,3.815155287093663e-12
1.5579879333041617e-10,2.1440237668312456e-11,1.8890215502813875e-11,8.850812461879189e-12,2.900392098767476e-12
1.4834259735418196e-10,1.27089639552306e-10,3.251401667164975e-11,1.3096698611147381e-11,3.435684013017344e-12
9.944362330508467e-11,7.649535139892958e-11,2.331842874983876e-11,8.40565412991303e-12,3.216600990551662e-12
1.451691478240057e-10,2.4102042477976302e-11,2.6228860016778102e-11,1.0008042687576754e-11,2.823358539484625e-12
1.3720557308114428e-10,3.302236986738036e-11,3.651063178925749e-11,1.0417078569973132e-11,2.3447682522001523e-12
2.0964730943725546e-10,8.568298000588924e-11,3.9048169798381634e-11,1.721479531872624e-11,4.379111332037842e-12
