MeanPSD,MaxPSD
2.5700173773480663e-11,5.85823628140603e-10
3.738763986166711e-11,1.4495127870443529e-09
3.665400152664557e-11,1.050512800802754e-09
4.158751392049212e-11,7.5562030601504e-10
3.707572274264721e-11,1.6513856433579253e-09
1.7136987573561283e-11,2.3023005603988018e-09
3.369089606603092e-11,9.616387905917344e-10
6.997237360467827e-11,6.557909235742849e-09
5.700990948535795e-11,1.6352767129436285e-09
5.859235657067897e-11,2.403179487296472e-09
3.975800165868006e-11,1.5792942248967182e-09
3.1369973395066005e-11,7.402034854702668e-10
2.4922304442728e-11,9.383953081058008e-10
2.7445626600024914e-11,8.999540938009905e-10
3.2098623815626383e-11,9.983680255417985e-10
3.6258098829590364e-11,1.3883506210854452e-09
2.1109898608027088e-11,3.156003504586703e-10
6.779168799965442e-11,3.776233043765975e-09
3.729039757829172e-11,1.2093816302936911e-09
2.3867692366357214e-11,1.0001635943646144e-09
2.7535218207705464e-11,6.012675870501198e-10
2.6165293897374877e-11,9.753140688854938e-10
2.6589008173201537e-11,4.625284079646319e-10
2.1207080538927913e-11,7.791367718731465e-10
3.5204029491017886e-11,5.202875354699626e-10
2.2973501266005237e-11,6.266332871134793e-10
2.208795447567856e-11,8.61866442974807e-10
2.3764035278738114e-11,5.839371908710915e-10
3.854762387348605e-11,1.117693312073555e-09
